ALC,220802,.16,.16,.15,.15,2135744
ALD,220802,33.61,33.91,33.46,33.85,688446
ALG,220802,.525,.525,.5,.51,1501052
ALI,220802,2.54,2.54,2.47,2.47,26126
ALK,220802,.795,.815,.78,.815,432514
ALL,220802,35.12,35.45,34.84,35.32,2274146
ALLKOP,220802,12.62,12.62,12.59,12.59,750
ALM,220802,.012,.012,.012,.012,100400
ALQ,220802,11.69,11.78,11.57,11.78,801254
ALT,220802,.001,.001,.001,.001,3200000
ALU,220802,30.55,31.23,30.55,31.21,257737
ALX,220802,7.75,7.88,7.68,7.77,3120235
ALY,220802,.014,.014,.014,.014,158575
AM7,220802,.145,.145,.13,.145,299035
AMA,220802,.16,.16,.15,.15,2251663
AMC,220802,18.5,18.65,18.46,18.65,1563668
AMCKOP,220802,5.5,5.5,5.49,5.49,5000
AMD,220802,.004,.004,.004,.004,150000
AME,220802,.061,.061,.057,.058,761944
AMH,220802,1.125,1.145,1.12,1.14,100185
AMI,220802,.265,.267,.26,.265,2695565
AML,220802,.028,.029,.028,.028,645808
AMM,220802,.062,.062,.062,.062,100000
AMN,220802,.42,.42,.42,.42,40480
AMP,220802,1.095,1.11,1.08,1.11,6155830
AMPPB,220802,102,102,102,102,1896
AMS,220802,.305,.32,.305,.32,298302
AMX,220802,.4,.4,.37,.4,18500
AN1,220802,.032,.032,.028,.028,86956
AN1OA,220802,.002,.002,.001,.001,500000
AND,220802,1.8,1.845,1.79,1.8,11368
ANG,220802,.25,.265,.25,.265,304982
ANL,220802,.001,.002,.001,.002,5000000
ANN,220802,26.36,26.86,26.31,26.83,243091
ANO,220802,2.25,2.26,2.25,2.26,4013
ANP,220802,.079,.079,.077,.079,234916
ANR,220802,.056,.057,.056,.057,72279
ANW,220802,.001,.001,.001,.001,500180
ANX,220802,.075,.08,.075,.078,60284
ANZ,220802,22.44,22.86,22.41,22.81,6999769
ANZJCA,220802,7.71,7.81,7.71,7.78,27250
ANZJOB,220802,4.59,4.62,4.54,4.62,34200
ANZJOJ,220802,13.62,13.89,13.62,13.89,4000
ANZKCD,220802,3.48,3.48,3.48,3.48,333
ANZKCE,220802,2.83,2.92,2.83,2.92,3400
ANZKOI,220802,3.88,4.11,3.88,4.11,10000
ANZPF,220802,102.36,102.94,102.36,102.94,63195
ANZPG,220802,104.7,104.98,104.5,104.65,6911
ANZPH,220802,104.59,104.73,104.1,104.73,3315
ANZPI,220802,100.19,100.25,100.01,100.19,16535
ANZPJ,220802,98.49,98.93,98.42,98.8,17767
ANZR,220802,3.4,3.95,3.4,3.85,1443192
ANZSOB,220802,11.77,11.77,11.77,11.77,750
AO1,220802,.001,.001,.001,.001,33333
AOA,220802,.005,.005,.005,.005,86498
AOF,220802,1.81,1.825,1.785,1.81,87761
AON,220802,.055,.055,.051,.051,582388
AOU,220802,.058,.064,.058,.064,383407
APA,220802,11.9,12.1,11.7,12.05,1757386
APC,220802,.041,.042,.04,.04,255391
APE,220802,12.4,12.7,12.36,12.69,519625
APEKCC,220802,7.27,7.27,7.24,7.24,2381
APM,220802,3.3,3.35,3.27,3.35,188096
APS,220802,.12,.12,.105,.105,77769
APX,220802,4.49,4.49,4.04,4.15,8599788
APXJOC,220802,1.225,1.225,1.155,1.155,1001
APXKCD,220802,1.24,1.435,1.075,1.175,34085
APXKOA,220802,1.665,1.665,1.665,1.665,3000
APZ,220802,1.56,1.575,1.56,1.575,3052
AQC,220802,.105,.105,.105,.105,9024
AQD,220802,.018,.018,.017,.017,1276221
AQI,220802,.059,.06,.058,.059,487218
AQLT,220802,22.68,22.81,22.65,22.81,467
AQX,220802,.003,.003,.003,.003,29187005
AQZ,220802,3.39,3.46,3.31,3.45,54747
AR1,220802,.435,.6,.435,.465,2733486
AR3,220802,.43,.435,.43,.435,45944
AR9,220802,.165,.175,.165,.165,98445
AR9O,220802,.073,.073,.073,.073,13698
ARA,220802,.77,.77,.77,.77,1
ARB,220802,33,33.41,32.84,33.26,124548
ARD,220802,.019,.02,.019,.02,605000
ARE,220802,.002,.002,.002,.002,15168336
ARF,220802,4.76,4.78,4.7,4.73,603550
ARG,220802,9.44,9.55,9.4,9.55,161296
ARL,220802,1.145,1.195,1.05,1.095,266250
ARN,220802,.2,.21,.2,.21,4885
ARO,220802,.004,.004,.004,.004,1176276
ARR,220802,.255,.255,.24,.255,893385
ART,220802,.415,.415,.385,.385,437394
ARU,220802,.325,.34,.32,.32,4995284
ARV,220802,.025,.027,.025,.026,200766
ARX,220802,.87,.9,.86,.89,115000
AS2,220802,.295,.32,.29,.295,349470
AS2O,220802,.105,.105,.1,.1,137905
ASB,220802,2.67,2.67,2.63,2.66,647643
ASG,220802,1.79,1.83,1.79,1.79,7443
ASH,220802,.8,.81,.77,.81,107274
ASIA,220802,6.9,6.9,6.69,6.8,335642
ASM,220802,3.6,3.6,3.36,3.5,358011
ASN,220802,.13,.13,.12,.12,4506138
ASNOC,220802,.1,.1,.092,.092,125500
ASO,220802,.087,.087,.081,.083,944595
ASQ,220802,.056,.056,.056,.056,8839
ASR,220802,.019,.019,.018,.018,2153237
ASROB,220802,.004,.004,.004,.004,1300000
ASX,220802,88.42,90.61,88.06,90.52,486436
ASXSO4,220802,44.86,44.86,44.86,44.86,60
AT1,220802,.076,.078,.066,.066,1035238
ATA,220802,.59,.59,.585,.59,11327
ATC,220802,.057,.06,.055,.06,1651353
ATEC,220802,17.1,17.14,16.96,17.11,12193
ATH,220802,.016,.016,.015,.016,3229656
ATL,220802,.515,.53,.515,.53,2780
ATP,220802,.033,.034,.033,.034,149829
ATR,220802,.515,.515,.495,.5,31857
ATS,220802,.05,.05,.047,.047,637832
ATU,220802,.007,.007,.007,.007,2984
ATV,220802,.083,.09,.083,.09,24832
ATX,220802,.095,.099,.095,.098,201115
AU1,220802,.043,.043,.043,.043,150000
AUA,220802,.12,.12,.12,.12,2000
AUB,220802,19.59,19.65,19.44,19.65,156286
AUC,220802,.049,.049,.044,.044,5512044
AUDS,220802,8.04,8.04,7.93,7.93,8014
AUE,220802,.125,.125,.125,.125,15000
AUH,220802,.007,.007,.007,.007,5347231
AUI,220802,9.84,9.88,9.79,9.88,8223
AUMF,220802,29.14,29.14,29.14,29.14,200
AUN,220802,.14,.14,.14,.14,2505
AUQ,220802,.046,.046,.046,.046,38564
AUT,220802,.047,.048,.046,.046,423224
AUZ,220802,.07,.072,.069,.069,271469
AV1,220802,.07,.072,.07,.072,232540
AVA,220802,.265,.265,.25,.25,70665
AVG,220802,.67,.67,.645,.66,11064
AVH,220802,1.68,1.75,1.68,1.71,193624
AVJ,220802,.485,.49,.46,.46,61009
AVL,220802,.041,.042,.039,.041,17444488
AVLOA,220802,.018,.018,.016,.016,3074999
AVR,220802,26.64,26.7,25.14,26.29,11406
AW1,220802,.13,.13,.13,.13,21759
AWC,220802,1.505,1.532,1.495,1.525,13873824
AWV,220802,.01,.01,.01,.01,10500
AX1,220802,1.31,1.35,1.305,1.35,667593
AX8,220802,.037,.037,.037,.037,15269
AXE,220802,.795,.885,.75,.87,1774086
AXI,220802,.054,.058,.054,.058,53004
AXP,220802,.006,.006,.005,.005,18267
AYA,220802,.705,.705,.67,.67,19809
AYT,220802,.01,.01,.009,.009,353864
AYUHC,220802,99.39,99.39,98.2,98.2,971
AYUPA,220802,84.35,84.48,84.35,84.39,732
AZJ,220802,4.09,4.13,4.055,4.12,3988021
AZL,220802,.074,.074,.071,.072,8584007
AZLO,220802,.016,.016,.013,.016,1276678
AZS,220802,.205,.22,.2,.205,337943
AZY,220802,.036,.036,.034,.035,2442371
B4P,220802,.6,.6,.56,.58,17724
BAP,220802,6.62,6.74,6.62,6.71,564908
BAS,220802,.04,.042,.04,.041,570039
BAT,220802,.006,.006,.006,.006,865000
BBC,220802,.655,.655,.62,.62,171599
BBL,220802,1,1,1,1,46
BBN,220802,4.79,4.84,4.77,4.82,400143
BBOZ,220802,4.14,4.16,4.09,4.09,3488247
BBT,220802,.555,.56,.51,.525,363831
BBUS,220802,9.44,9.54,9.44,9.51,387505
BC8,220802,.395,.395,.36,.36,108507
